,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
29943,21013080,Nolita,Manhattan,40.72217319674431,-73.99497502421147,2,1.0,1.0,1.0,$225.00,0,23,99.0,10.0,10.0,10.0,10.0,10.0
24307,17450040,Murray Hill,Manhattan,40.74721409360335,-73.97415353914172,6,1.0,3.0,3.0,$181.00,286,1,100.0,10.0,10.0,10.0,10.0,10.0
46029,30319587,Bedford-Stuyvesant,Brooklyn,40.69108068970164,-73.93410685918639,1,1.5,1.0,1.0,$35.00,153,2,90.0,9.0,10.0,10.0,10.0,9.0
9137,6420850,Bedford-Stuyvesant,Brooklyn,40.69435304946079,-73.93294248321546,2,1.0,1.0,1.0,$100.00,0,1,100.0,8.0,10.0,10.0,10.0,10.0
4342,2464679,East Village,Manhattan,40.732372718060375,-73.98917998233627,2,1.0,1.0,1.0,$99.00,0,94,93.0,9.0,10.0,10.0,10.0,9.0
8561,5942682,Roosevelt Island,Manhattan,40.76430622782886,-73.94792700079137,2,1.0,1.0,1.0,$150.00,337,4,93.0,9.0,9.0,9.0,10.0,9.0
20372,14401117,Bedford-Stuyvesant,Brooklyn,40.695489544004936,-73.94415405490133,2,1.0,1.0,1.0,$49.00,149,8,88.0,9.0,9.0,10.0,7.0,9.0
28669,20277675,Clinton Hill,Brooklyn,40.68357933953261,-73.96269599027895,2,1.0,1.0,2.0,$59.00,0,2,80.0,8.0,10.0,10.0,8.0,10.0
8296,5672704,Hell's Kitchen,Manhattan,40.76195920563784,-73.99194354658343,2,1.0,1.0,1.0,$70.00,0,3,90.0,9.0,9.0,9.0,10.0,10.0
3063,1525602,Crown Heights,Brooklyn,40.66750968920744,-73.95867355944975,2,1.0,1.0,1.0,$115.00,71,110,92.0,9.0,9.0,9.0,10.0,10.0
30967,21514056,Upper West Side,Manhattan,40.79172231874089,-73.97517526003858,4,1.0,1.0,2.0,$177.00,67,33,90.0,8.0,10.0,10.0,10.0,9.0
7719,5052495,Williamsburg,Brooklyn,40.709066515464784,-73.9639610592995,2,1.0,1.0,1.0,$60.00,0,16,98.0,10.0,10.0,10.0,10.0,10.0
