,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
26635,38456362,Flatlands,Brooklyn,40.62457,-73.92994,12,1,2.0,2.0,$92.00,263,32,98.0,10.0,10.0,10.0,10.0,9.0
21265,29994675,Bedford-Stuyvesant,Brooklyn,40.67902,-73.90837,2,1,1.0,1.0,$55.00,0,11,84.0,8.0,9.0,9.0,9.0,8.0
8268,9786021,Flatbush,Brooklyn,40.63655,-73.95424,2,1,1.0,1.0,$60.00,0,1,100.0,10.0,10.0,10.0,10.0,10.0
249,106647,Bedford-Stuyvesant,Brooklyn,40.68505,-73.95684,4,1,2.0,2.0,$125.00,49,101,97.0,10.0,10.0,10.0,10.0,10.0
17244,22483776,Woodside,Queens,40.74915,-73.90122,1,1,1.0,1.0,$27.00,0,7,87.0,9.0,10.0,9.0,10.0,8.0
18769,25354678,Edenwald,Bronx,40.89225,-73.83438,11,1,3.0,5.0,$129.00,188,96,96.0,10.0,10.0,10.0,9.0,9.0
18510,24857436,Upper West Side,Manhattan,40.80139,-73.96268,1,1,1.0,1.0,$48.00,0,4,60.0,5.0,6.0,7.0,9.0,7.0
4300,4800921,Williamsburg,Brooklyn,40.71262,-73.95026,14,2,4.0,10.0,$300.00,306,53,93.0,9.0,10.0,10.0,10.0,9.0
30249,42568493,Jamaica,Queens,40.67419,-73.79216,8,1,3.0,4.0,$205.00,156,6,100.0,10.0,10.0,10.0,10.0,10.0
5560,6627016,Williamsburg,Brooklyn,40.71932,-73.95446,4,1,1.0,1.0,$250.00,0,1,100.0,10.0,10.0,10.0,10.0,10.0
28921,40953806,Harlem,Manhattan,40.81893,-73.94421,2,1,1.0,1.0,$85.00,179,1,100.0,10.0,10.0,10.0,10.0,10.0
19142,26223279,Flushing,Queens,40.7555,-73.80275,2,1,1.0,1.0,$51.00,0,17,95.0,10.0,10.0,10.0,9.0,10.0
6289,7461720,Prospect Heights,Brooklyn,40.68024,-73.96658,2,1,1.0,1.0,$75.00,167,261,98.0,10.0,10.0,10.0,10.0,10.0
33002,45252083,Borough Park,Brooklyn,40.62972,-74.00304,2,1,1.0,1.0,$100.00,90,3,100.0,10.0,10.0,10.0,10.0,10.0
