,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
9094,7679691,Lower East Side,Manhattan,40.72014,-73.98498,2,1.0,1.0,1.0,$80.00,0,2,100.0,10.0,10.0,10.0,10.0,10.0
8110,6821978,Clinton Hill,Brooklyn,40.68636,-73.96207,4,1.0,1.0,2.0,$125.00,0,1,100.0,8.0,10.0,10.0,10.0,10.0
26619,22750988,Gramercy,Manhattan,40.73426,-73.98571,2,4.0,1.0,1.0,$83.00,363,3,80.0,9.0,10.0,10.0,9.0,9.0
11103,9435428,East Harlem,Manhattan,40.79335,-73.94583,3,1.0,0.0,1.0,$150.00,0,1,80.0,8.0,10.0,10.0,8.0,8.0
10338,8808863,Park Slope,Brooklyn,40.67424,-73.97717,2,1.0,0.0,1.0,$120.00,0,1,100.0,10.0,10.0,10.0,10.0,10.0
14151,12430126,Morningside Heights,Manhattan,40.80507,-73.96465,6,1.0,2.0,2.0,$290.00,0,3,100.0,9.0,10.0,10.0,9.0,9.0
37676,33808465,Midwood,Brooklyn,40.61326,-73.94742,2,1.0,1.0,1.0,$100.00,179,19,88.0,9.0,10.0,10.0,10.0,9.0
487,196010,Park Slope,Brooklyn,40.67595,-73.98053,2,1.0,1.0,1.0,$265.00,0,15,100.0,10.0,10.0,10.0,10.0,9.0
23623,20874350,Williamsburg,Brooklyn,40.71075,-73.9564,6,1.0,3.0,3.0,$225.00,98,168,95.0,10.0,10.0,10.0,10.0,9.0
37816,33943754,Bushwick,Brooklyn,40.69899,-73.91667,3,1.0,1.0,2.0,$45.00,52,35,95.0,9.0,10.0,10.0,10.0,9.0
32567,29256706,Flatlands,Brooklyn,40.62453,-73.92479,1,1.0,1.0,1.0,$175.00,364,3,100.0,10.0,10.0,10.0,9.0,9.0
27602,23807600,Jackson Heights,Queens,40.75122,-73.87977,6,1.0,2.0,4.0,$195.00,357,33,85.0,8.0,9.0,9.0,9.0,9.0
6228,4887250,Long Island City,Queens,40.74741,-73.94712,3,1.0,1.0,2.0,$95.00,346,158,90.0,8.0,10.0,10.0,10.0,9.0
42494,37725131,Concourse Village,Bronx,40.82714,-73.9208,3,1.0,1.0,1.0,$200.00,88,13,98.0,10.0,10.0,10.0,10.0,10.0
13177,11334476,Inwood,Manhattan,40.86679,-73.92552,2,1.0,1.0,1.0,$35.00,9,10,97.0,10.0,9.0,10.0,9.0,10.0
37276,33461576,Morningside Heights,Manhattan,40.80446,-73.96356,2,1.0,1.0,1.0,$89.00,363,11,87.0,9.0,9.0,9.0,10.0,9.0
24399,21411685,Williamsburg,Brooklyn,40.71023,-73.95827,2,1.0,1.0,1.0,$100.00,0,1,100.0,10.0,10.0,10.0,10.0,10.0
21795,19425570,Kew Gardens Hills,Queens,40.73307,-73.81868,3,1.0,1.0,2.0,$150.00,114,21,95.0,9.0,10.0,10.0,10.0,9.0
38038,34152864,Kips Bay,Manhattan,40.7443,-73.97519,8,2.0,2.0,4.0,$304.00,79,41,94.0,10.0,10.0,10.0,10.0,9.0
11384,9612260,Carroll Gardens,Brooklyn,40.6776,-74.0014,2,1.0,1.0,1.0,$110.00,0,1,80.0,4.0,10.0,10.0,10.0,8.0
7857,6635179,Lower East Side,Manhattan,40.71968,-73.98708,4,1.0,2.0,2.0,$250.00,133,69,90.0,9.0,10.0,10.0,10.0,9.0
4630,3678829,Park Slope,Brooklyn,40.67164,-73.97761,8,2.5,3.0,4.0,$545.00,64,13,100.0,10.0,10.0,10.0,10.0,10.0
21545,19240100,Red Hook,Brooklyn,40.6799,-74.01147,2,1.0,0.0,1.0,$90.00,236,9,91.0,9.0,10.0,10.0,8.0,9.0
49284,41335857,Theater District,Manhattan,40.76078,-73.98603,4,1.0,1.0,2.0,$165.00,356,1,80.0,10.0,10.0,8.0,10.0,10.0
42679,37881656,Bushwick,Brooklyn,40.68132,-73.90684,2,1.0,1.0,1.0,$48.00,36,53,96.0,10.0,10.0,10.0,10.0,10.0
41894,37253210,Prospect Heights,Brooklyn,40.67922,-73.96543,2,1.0,1.0,1.0,$120.00,89,3,87.0,10.0,10.0,10.0,10.0,7.0
35742,31839994,Flushing,Queens,40.75406,-73.80156,6,2.0,2.0,2.0,$159.00,56,23,99.0,10.0,10.0,10.0,9.0,10.0
17643,15452878,Nolita,Manhattan,40.72104,-73.99498,2,1.0,1.0,1.0,$130.00,86,129,96.0,10.0,10.0,10.0,10.0,9.0
39104,34973988,Lower East Side,Manhattan,40.72049,-73.98816,1,1.0,0.0,1.0,$150.00,0,9,89.0,9.0,10.0,9.0,10.0,9.0
1129,528485,Sunset Park,Brooklyn,40.66119,-73.98822,1,1.0,1.0,1.0,$37.00,30,6,100.0,10.0,10.0,10.0,9.0,9.0
36407,32570888,Crown Heights,Brooklyn,40.66878,-73.93938,7,1.0,3.0,4.0,$165.00,324,30,77.0,7.0,9.0,10.0,9.0,8.0
23616,20864878,Chelsea,Manhattan,40.7469,-73.99494,4,1.0,1.0,2.0,$200.00,336,55,86.0,9.0,9.0,9.0,9.0,8.0
24477,21471116,Midtown,Manhattan,40.74557,-73.98216,2,1.0,1.0,1.0,$130.00,0,9,87.0,8.0,9.0,9.0,10.0,9.0
